,Ag,Al2O3,As,Au,Bi,CaO,Cu,Fe,H2O,MgO,Ni,Pb,S,Sb,SiO2,Zn,clean,delete,index,inventory,name,number,calculatePercentage,required,cohesion,consumed_amounts,productionTime,fixed
慧金桥292柜,0,1.54,0.25,1,0,0.29,19.71,26.64,6.94,0.91,0,1.43,32.12,0,3.3,4.46,0,FALSE,4,1100,慧金桥292柜,10009,0.12,0,0,400,83.33,0
江门商人,0,2.07,1.92,1,0,1.1,21.08,30.19,8.4,0.83,0,1.56,10.07,0,9.09,1.11,0,FALSE,12,67,江门商人,10005,0.07,1,0,233,28.57,0
慧金桥87柜,0,1.65,0.0001,1,0,0.18,20.79,26.19,4.3,0.19,0,0.082,33.98,0,2.76,0.11,0,FALSE,5,1233,慧金桥87柜,10010,0.08,0,0,267,125,0
马尼拉精神37柜,0,1.64,0.29,1,0,0.67,21.99,27.35,7.3,0.44,0,0.25,31.24,0,5.72,0.24,0,FALSE,10,0,马尼拉精神37柜,10008,0.3,0,0,1000,22.22,0
苏察布73柜,0,1.79,0.16,1,0,0.84,19.59,27.51,6,0.53,0,0.42,30.46,0,6.34,0.28,1,FALSE,7,67,苏察布73柜,10012,0.43,1,0,1433,23.26,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matte_Cu_Percentage,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matte_Fe_Percentage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matte_S_Percentage,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_Cu_Percentage,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_S_Percentage,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_Fe_Percentage,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slag_SiO2_Percentage,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_PEER_COAL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAL_T,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe_vs_SiO2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe2O3_vs_FeO,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX_TYPE_TO_SEARCH,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXYGEN_CONCENTRATION,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
OxygenMaterialRatio,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecallRate,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
